qtd_ponto_url,qtd_hifen_url,qtd_underline_url,qtd_barra_url,qtd_interrogacao_url,qtd_igual_url,qtd_arroba_url,qtd_comercial_url,qtd_exclamacao_url,qtd_til_url,qtd_virgula_url,qtd_mais_url,qtd_asterisco_url,qtd_hashtag_url,qtd_cifrao_url,qtd_porcento_url,qtd_tld_url,comprimento_url,qtd_ponto_dominio,qtd_hifen_dominio,qtd_underline_dominio,qtd_arroba_dominio,qtd_vogais_dominio,comprimento_dominio,formato_ip_dominio,server_client_dominio,qtd_ponto_diretorio,qtd_hifen_diretorio,qtd_underline_diretorio,qtd_barra_diretorio,qtd_igual_diretorio,qtd_arroba_diretorio,qtd_comercial_diretorio,qtd_exclamacao_diretorio,qtd_til_diretorio,qtd_virgula_diretorio,qtd_mais_diretorio,qtd_asterisco_diretorio,qtd_cifrao_diretorio,qtd_porcento_diretorio,comprimento_diretorio,qtd_ponto_arquivo,qtd_hifen_arquivo,qtd_underline_arquivo,qtd_igual_arquivo,qtd_arroba_arquivo,qtd_comercial_arquivo,qtd_exclamacao_arquivo,qtd_til_arquivo,qtd_virgula_arquivo,qtd_mais_arquivo,qtd_asterisco_arquivo,qtd_hashtag_arquivo,qtd_cifrao_arquivo,qtd_porcento_arquivo,comprimento_arquivo,qtd_ponto_parametros,qtd_hifen_parametros,qtd_underline_parametros,qtd_barra_parametros,qtd_interrogacao_parametros,qtd_igual_parametros,qtd_arroba_parametros,qtd_comercial_parametros,qtd_exclamacao_parametros,qtd_til_parametros,qtd_virgula_parametros,qtd_mais_parametros,qtd_asterisco_parametros,qtd_hashtag_parametros,qtd_cifrao_parametros,qtd_porcento_parametros,comprimento_parametros,presenca_tld_argumentos,qtd_parametros,email_na_url,extensao_arquivo,dominio_presente_em_rbl,tempo_resposta,possui_spf,localizacao_geografica_ip,tempo_ativacao_dominio,tempo_expiracao_dominio,qtd_ip_resolvido,qtd_nameservers,qtd_servidores_mx,valor_ttl_associado,certificado_tls_ssl,qtd_redirecionamentos,url_indexada_no_google,dominio_indexado_no_google,phishing
4,0,0,5,0,3,0,5,0,0,0,0,0,0,0,0,1,139,2,0,0,0,3,12,False,False,1,0,0,5,0,0,0,0,0,0,0,0,0,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,3,0,5,0,0,9,0,0,0,0,0,93,False,3,False,php,False,5.714429,False,US,1711,114,1,2,2,3600,False,0,False,False,True
2,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,59,2,0,0,0,10,30,False,False,0,2,0,1,0,0,0,0,0,0,2,0,0,0,29,0,2,0,0,0,0,0,0,0,2,0,0,0,0,28,0.852962,0.412544,0.628571,0.177003,0.061324,2.080836,0.162369,1.269686,0.000697,0,5.960976,0.064808,0,0,0.005575,0.255749,69.51777,False,1.878049,False,php,False,5.484788,False,US,4090.257726,555.959321,1,8,7,290,True,0,False,False,False
2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,57,2,0,0,0,6,17,False,False,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,False,1,False,php,False,0.51016,False,BR,4090.257726,555.959321,4,5,3,290,True,2,False,False,False
1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,44,1,0,0,0,3,9,False,False,0,4,0,3,0,0,0,0,0,0,0,0,0,0,35,0,4,0,0,0,0,0,0,0,0,0,0,0,0,24,0.852962,0.412544,0.628571,0.177003,0.061324,2.080836,0.162369,1.269686,0.000697,0,5.960976,0.064808,0,0,0.005575,0.255749,69.51777,False,1.878049,False,php,False,6.067636,True,US,5242,236,1,4,1,291,True,2,False,False,False
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15,2,0,0,0,4,14,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.852962,0.412544,0.628571,0.177003,0.061324,2.080836,0.162369,1.269686,0.000697,0,5.960976,0.064808,0,0,0.005575,0.255749,69.51777,False,1.878049,False,php,False,6.067636,False,US,4090.257726,555.959321,1.27168,3,0,12188.981404,False,0.699718,False,False,False
3,0,0,7,0,1,1,0,0,0,0,0,0,0,0,0,2,118,1,0,0,0,7,18,False,False,1,0,0,7,0,0,0,0,0,0,0,0,0,0,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,1,1,0,0,0,9,0,0,0,0,0,30,True,1,True,php,False,4.517041,False,CA,1177,283,1,2,1,3590,False,0,False,False,True
4,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,79,3,0,0,0,17,39,False,False,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,9,0,0,0,0,0,31,True,1,True,php,False,5.213224,False,AU,4090.257726,555.959321,1,2,1,14389,True,0,False,False,True
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,0,0,1,8,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.852962,0.412544,0.628571,0.177003,0.061324,2.080836,0.162369,1.269686,0.000697,0,5.960976,0.064808,0,0,0.005575,0.255749,69.51777,False,1.878049,False,php,False,1.703681,False,US,998,97,2,1,0,56,False,1,False,False,False
1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,68,1,0,0,0,3,11,False,False,0,3,0,4,0,0,0,0,0,0,0,0,0,0,57,0,3,0,0,0,0,0,0,0,0,0,0,0,0,28,0.852962,0.412544,0.628571,0.177003,0.061324,2.080836,0.162369,1.269686,0.000697,0,5.960976,0.064808,0,0,0.005575,0.255749,69.51777,False,1.878049,False,php,False,0.861582,False,US,8119,1743,1,4,2,56,True,2,False,False,False
2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,58,1,0,0,0,5,16,False,False,1,0,3,3,0,0,0,0,0,0,0,0,0,0,42,1,0,3,0,0,0,0,0,0,0,0,0,0,0,28,0.852962,0.412544,0.628571,0.177003,0.061324,2.080836,0.162369,1.269686,0.000697,0,5.960976,0.064808,0,0,0.005575,0.255749,69.51777,False,1.878049,False,html,False,4.88897,False,US,6682,1718,1,4,0,51,False,0,False,False,False
